Data Source in SDW: null
,FM.M.U2.EUR.RT.MM.EURIBOR3MD_.HSTA
,"Euro area (changing composition) - Money Market - Euribor 3-month - Historical close, average of observations through period - Euro, provided by Refinitiv"
Collection:,Average of observations through period (A)
Period\Unit:,[Percent per annum ]
,,obs. status,obs. comment
2013Sep,0.2232,Normal value (A),
2013Aug,0.2259,Normal value (A),
2013Jul,0.2214,Normal value (A),
2013Jun,0.2103,Normal value (A),
2013May,0.2012,Normal value (A),
2013Apr,0.2089,Normal value (A),
2013Mar,0.2061,Normal value (A),
2013Feb,0.2234,Normal value (A),
2013Jan,0.2049,Normal value (A),
2012Dec,0.1855,Normal value (A),
2012Nov,0.1920,Normal value (A),
2012Oct,0.2079,Normal value (A),
2012Sep,0.2463,Normal value (A),
2012Aug,0.3324,Normal value (A),
2012Jul,0.4970,Normal value (A),
2012Jun,0.6589,Normal value (A),
2012May,0.6849,Normal value (A),
2012Apr,0.7443,Normal value (A),
2012Mar,0.8585,Normal value (A),
2012Feb,1.0483,Normal value (A),
2012Jan,1.2222,Normal value (A),
2011Dec,1.4261,Normal value (A),
2011Nov,1.4847,Normal value (A),
2011Oct,1.5759,Normal value (A),
2011Sep,1.5365,Normal value (A),
2011Aug,1.5521,Normal value (A),
2011Jul,1.5976,Normal value (A),
2011Jun,1.4886,Normal value (A),
2011May,1.4251,Normal value (A),
2011Apr,1.3212,Normal value (A),
2011Mar,1.1755,Normal value (A),
2011Feb,1.0867,Normal value (A),
2011Jan,1.0172,Normal value (A),
2010Dec,1.0217,Normal value (A),
2010Nov,1.0420,Normal value (A),
2010Oct,0.9977,Normal value (A),
2010Sep,0.8805,Normal value (A),
2010Aug,0.8955,Normal value (A),
2010Jul,0.8488,Normal value (A),
2010Jun,0.7276,Normal value (A),
2010May,0.6865,Normal value (A),
2010Apr,0.6447,Normal value (A),
2010Mar,0.6450,Normal value (A),
2010Feb,0.6617,Normal value (A),
2010Jan,0.6797,Normal value (A),
2009Dec,0.7120,Normal value (A),
2009Nov,0.7162,Normal value (A),
2009Oct,0.7375,Normal value (A),
2009Sep,0.7721,Normal value (A),
2009Aug,0.8605,Normal value (A),
2009Jul,0.9750,Normal value (A),
2009Jun,1.2279,Normal value (A),
2009May,1.2817,Normal value (A),
2009Apr,1.4223,Normal value (A),
2009Mar,1.6355,Normal value (A),
2009Feb,1.9431,Normal value (A),
2009Jan,2.4565,Normal value (A),
2008Dec,3.2926,Normal value (A),
2008Nov,4.2383,Normal value (A),
2008Oct,5.1131,Normal value (A),
2008Sep,5.0192,Normal value (A),
2008Aug,4.9652,Normal value (A),
2008Jul,4.9610,Normal value (A),
2008Jun,4.9405,Normal value (A),
2008May,4.8574,Normal value (A),
2008Apr,4.7835,Normal value (A),
2008Mar,4.5964,Normal value (A),
